"CountryCode","SeriesCode","DESCRIPTION",
"CZE","SG.POP.MIGR.FE.ZS","Estimates were derived from data on foreign citizens.",
"CZE","SP.DYN.LE00.FE.IN","Data source: Eurostat, Statistical Year Book, Czech Statistical Office",
"CZE","SP.DYN.CBRT.IN","Data source: Eurostat",
"CZE","SP.DYN.TFRT.IN","Data source: Eurostat, Czech Statistical Office",
"CZE","SP.POP.TOTL","Data source: Eurostat, Czech Statistical Office",
"CZE","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"CZE","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"CZE","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"DEU","SP.POP.TOTL","Data source: Eurostat, Federal Statistical Office",
"DEU","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"DEU","SP.DYN.TFRT.IN","Data source: Eurostat, Germany Federal Statistical Office",
"DEU","SP.DYN.CDRT.IN","Data source: Eurostat",
"DEU","SP.DYN.CBRT.IN","Data source: Eurostat",
"DEU","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"DEU","SP.DYN.LE00.FE.IN","Data source: Eurostat, United Nations World Population Prospects, Germany Federal Statistical Office",
"DEU","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"DEU","SP.DYN.LE00.MA.IN","Data source: Eurostat, United Nations World Population Prospects, Germany Federal Statistical Office",
"DEU","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"DJI","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"DJI","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"DJI","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"DJI","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"DJI","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"DJI","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"DJI","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"DJI","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates.",
"DJI","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"DJI","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"DMA","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"DMA","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"DMA","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"DMA","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"DMA","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"DMA","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"DMA","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"DMA","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"DMA","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"DMA","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"DNK","SP.DYN.TFRT.IN","Data source: Eurostat, Statistics Denmark",
"DNK","SP.DYN.LE00.FE.IN","Data source: Eurostat, Statistics Denmark",
"DNK","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"DNK","SP.DYN.CDRT.IN","Data source: Eurostat",
"DNK","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"DNK","SP.DYN.LE00.MA.IN","Data source: Eurostat, Statistics Denmark",
"DNK","SP.POP.TOTL","Data source: Eurostat, Statistics Denmark",
"DNK","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"DNK","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"DNK","SP.DYN.CBRT.IN","Data source: Eurostat",
"DOM","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"DOM","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"DOM","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"DOM","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"DOM","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"DOM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"DOM","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"DOM","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"DOM","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"DOM","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"DZA","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"DZA","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"DZA","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates.",
"DZA","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"DZA","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"DZA","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"DZA","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"DZA","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"DZA","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"DZA","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ECU","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates.",
"ECU","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ECU","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ECU","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ECU","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ECU","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ECU","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ECU","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ECU","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ECU","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"EGY","SG.GEN.PARL.ZS","Figures correspond to the results of elections to the Lower House completed in January 2012. Elections to the Upper House will be completed in early 2012.",
"EGY","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"EGY","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"EGY","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"EGY","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates.",
"EGY","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"EGY","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"EGY","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"EGY","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"EGY","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"EGY","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ERI","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ERI","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ERI","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ERI","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ERI","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ERI","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ERI","SG.POP.MIGR.FE.ZS","There were no data on international migrants for the country or area concerned and that the estimates presented were imputed.",
"ERI","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ERI","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ERI","NY.GNP.PCAP.PP.CD","Estimates are based on regression.",
"ERI","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ESP","SP.POP.AG01.FE.IN","Including Canary Islands, Ceuta and Melilla.",
"ESP","SP.POP.AG01.MA.IN","Including Canary Islands, Ceuta and Melilla.",
"ESP","SP.DYN.LE00.MA.IN","Data source: Eurostat, Instituto Nacional de Estadistica",
"ESP","SP.DYN.TFRT.IN","Data source: Eurostat, Instituto Nacional de Estadistica",
"ESP","SP.DYN.LE00.FE.IN","Data source: Eurostat, Instituto Nacional de Estadistica",
"ESP","SP.POP.AG00.MA.IN","Including Canary Islands, Ceuta and Melilla.",
"ESP","SP.POP.AG00.FE.IN","Including Canary Islands, Ceuta and Melilla.",
"ESP","SP.ADO.TFRT","Including Canary Islands, Ceuta and Melilla.",
"ESP","SP.POP.AG02.FE.IN","Including Canary Islands, Ceuta and Melilla.",
"ESP","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"ESP","SP.POP.AG02.MA.IN","Including Canary Islands, Ceuta and Melilla.",
"ESP","SP.DYN.CDRT.IN","Data source: Eurostat",
"ESP","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"ESP","SP.POP.TOTL","Data source: Eurostat, Instituto Nacional de Estadística",
"ESP","SP.DYN.CBRT.IN","Data source: Eurostat",
"ESP","SP.POP.AG03.FE.IN","Including Canary Islands, Ceuta and Melilla.",
"ESP","SP.POP.AG03.MA.IN","Including Canary Islands, Ceuta and Melilla.",
"ESP","SG.POP.MIGR.FE.ZS","Including Canary Islands, Ceuta and Melilla. Estimates were derived from data on the foreign-born population.",
"ESP","SP.POP.AG04.FE.IN","Including Canary Islands, Ceuta and Melilla.",
"ESP","SP.POP.AG04.MA.IN","Including Canary Islands, Ceuta and Melilla.",
"ESP","SP.DYN.TO65.MA.ZS","Including Canary Islands, Ceuta and Melilla.",
"ESP","SP.POP.AG05.FE.IN","Including Canary Islands, Ceuta and Melilla.",
"ESP","SP.DYN.TO65.FE.ZS","Including Canary Islands, Ceuta and Melilla.",
"ESP","SP.POP.AG05.MA.IN","Including Canary Islands, Ceuta and Melilla.",
"ESP","SP.POP.BRTH.MF","Including Canary Islands, Ceuta and Melilla.",
"ESP","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"EST","SP.POP.TOTL","Data source: Eurostat, Statistics Estonia",
"EST","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"EST","SP.DYN.CDRT.IN","Data source: Eurostat",
"EST","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"EST","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"EST","SP.DYN.LE00.FE.IN","Data source: Eurostat, United Nations World Population Prospects, Statistics Estonia",
"EST","SP.DYN.TFRT.IN","Data source: Eurostat, Statistics Estonia",
"EST","SP.DYN.LE00.MA.IN","Data source: Eurostat, United Nations World Population Prospects, Statistics Estonia",
"EST","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"EST","SP.DYN.CBRT.IN","Data source: Eurostat",
"ETH","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ETH","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ETH","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ETH","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ETH","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ETH","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ETH","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ETH","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates.",
"ETH","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ETH","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"FIN","SP.DYN.LE00.MA.IN","Data source: Eurostat, Statistics Finland",
"FIN","SP.DYN.TFRT.IN","Data source: Eurostat, Statistics Finland",
"FIN","SP.DYN.CDRT.IN","Data source: Eurostat",
"FIN","SP.POP.TOTL","Data source: Eurostat, Statistics Finland",
"FIN","SG.POP.MIGR.FE.ZS","Including Åland Islands. Estimates were derived from data on the foreign-born population.",
"FIN","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"FIN","SP.DYN.CBRT.IN","Data source: Eurostat",
"FIN","SP.POP.BRTH.MF","Including Åland Islands.",
"FIN","SP.DYN.TO65.FE.ZS","Including Åland Islands.",
"FIN","SP.POP.AG05.MA.IN","Including Åland Islands.",
"FIN","SP.DYN.TO65.MA.ZS","Including Åland Islands.",
"FIN","SP.POP.AG05.FE.IN","Including Åland Islands.",
"FIN","SP.POP.AG04.MA.IN","Including Åland Islands.",
"FIN","SP.POP.AG04.FE.IN","Including Åland Islands.",
"FIN","SP.POP.AG03.MA.IN","Including Åland Islands.",
"FIN","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"FIN","SP.POP.AG03.FE.IN","Including Åland Islands.",
"FIN","SP.POP.AG02.MA.IN","Including Åland Islands.",
"FIN","SP.POP.AG02.FE.IN","Including Åland Islands.",
"FIN","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"FIN","SP.ADO.TFRT","Including Åland Islands.",
"FIN","SP.POP.AG00.FE.IN","Including Åland Islands.",
"FIN","SP.DYN.LE00.FE.IN","Data source: Eurostat, Statistics Finland",
"FIN","SP.POP.AG00.MA.IN","Including Åland Islands.",
"FIN","SP.POP.AG01.FE.IN","Including Åland Islands.",
"FIN","SP.POP.AG01.MA.IN","Including Åland Islands.",
"FJI","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"FJI","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"FJI","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"FJI","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"FJI","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"FJI","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"FJI","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"FJI","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"FJI","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"FJI","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"FRA","SP.DYN.LE00.FE.IN","Data source and note: Eurostat, United Nations World Population Prospects, Institut National de la Statistique et des Études Économiques. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Réunion.",
"FRA","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"FRA","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"FRA","SP.POP.TOTL","Data source: Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Mayotte, and Réunion.",
"FRA","SP.DYN.CDRT.IN","Data source and note: Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Réunion.",
"FRA","SL.TLF.BASC.FE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.ADVN.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.ADVN.MA.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.ADVN.FE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.ACTI.1524.NE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.ACTI.1524.MA.NE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.BASC.MA.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.BASC.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"FRA","SL.UEM.TOTL.NE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.ACTI.1524.FE.NE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.TOTL.MA.NE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.TOTL.FE.NE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.NEET.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.NEET.MA.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.NEET.FE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.INTM.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.INTM.MA.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"FRA","SL.UEM.INTM.FE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.EMP.UNDR.MA.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.EMP.UNDR.FE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.EMP.TOTL.SP.NE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.EMP.TOTL.SP.MA.NE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.EMP.TOTL.SP.FE.NE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.EMP.SMGT.FE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.EMP.1524.SP.NE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.EMP.1524.SP.MA.NE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.EMP.1524.SP.FE.NE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.BASC.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.BASC.MA.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.BASC.FE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.ADVN.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.ADVN.MA.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.ADVN.FE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.1524.NE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.CACT.FE.NE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.CACT.MA.NE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.CACT.NE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.INTM.FE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.INTM.MA.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.INTM.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SP.DYN.LE00.MA.IN","Data source and note: Eurostat, United Nations World Population Prospects, Institut National de la Statistique et des Études Économiques. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Réunion.",
"FRA","SL.UEM.1524.MA.NE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.UEM.1524.FE.NE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.PART.FE.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SP.DYN.CBRT.IN","Data source and note: Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Réunion.",
"FRA","SL.TLF.PART.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SL.TLF.PART.MA.ZS","For EU Labour Force Survey, data since 2014 include the French overseas departments (Guadeloupe, Martinique, Guyane, La Réunion), with the exception of Mayotte.",
"FRA","SP.DYN.TFRT.IN","Data source and note: Eurostat, United Nations World Population Prospects, Institut National de la Statistique et des Études Économiques. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Réunion.",
"FRO","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"FRO","SP.DYN.CDRT.IN","Data source: Statistics Faroe Islands",
"FRO","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"FRO","SP.DYN.LE00.FE.IN","Data source: Statistics Faroe Islands",
"FRO","SP.DYN.LE00.MA.IN","Data source: Statistics Faroe Islands",
"FRO","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"FRO","SP.DYN.CBRT.IN","Data source: Statistics Faroe Islands",
"FRO","SP.DYN.TFRT.IN","Data source: Statistics Faroe Islands",
"FSM","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"FSM","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"FSM","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"FSM","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"FSM","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"FSM","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"FSM","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"FSM","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"FSM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"FSM","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"GAB","SG.POP.MIGR.FE.ZS","Estimates were derived from data on foreign citizens.",
"GAB","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"GAB","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"GAB","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"GAB","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"GAB","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"GAB","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"GAB","SP.POP.TOTL","Data source: United Nations World Population Prospects",
